version	release_date	is_active	is_upcoming	notes	release_notes_url
2.4.0	2026-02-20	FALSE	TRUE	Next target release (not out yet)	https://docs.google.com/document/d/14iV4lUkYHuHv5VY3MPiIXDdRx_8SOY5Ml1M-gSPqvRY/edit?usp=sharing
2.3.9	2026-02-02	TRUE	FALSE	Current release as of 2026-02-12	https://docs.google.com/document/d/14iV4lUkYHuHv5VY3MPiIXDdRx_8SOY5Ml1M-gSPqvRY/edit?usp=sharing
